Date,Tweets,Likes
20240718-1410,0,0
20240718-1415,0,0
20240718-1420,1,2
20240718-1425,2,1
20240718-1430,3,7
20240718-1435,4,5
20240718-1440,0,0
20240718-1445,0,0
20240718-1450,0,0
20240718-1455,3,2
20240718-1500,4,12
20240718-1505,0,0
20240718-1510,0,0
20240718-1515,1,6
20240718-1520,0,7
20240718-1525,0,2
20240718-1530,4,8
20240718-1535,4,9
20240718-1540,0,0
20240718-1545,1,3
20240718-1550,0,0
20240718-1555,1,2
20240718-1600,3,6
20240718-1605,2,4
20240718-1610,0,8
20240718-1615,0,0
20240718-1620,0,1
20240718-1625,2,1
20240718-1630,0,0
20240718-1635,0,0
20240718-1640,0,0
20240718-1645,0,0
20240718-1650,0,0
20240718-1655,0,0
20240718-1700,0,0
20240718-1705,0,0
20240718-1710,0,0
20240718-1715,0,0
20240718-1720,0,0
20240718-1725,0,0
20240718-1730,0,0
20240718-1735,0,0
20240718-1740,0,0
20240718-1745,0,0
20240718-1750,0,0
20240718-1755,0,0
20240718-1800,0,0
20240718-1805,0,0
20240718-1810,0,0
20240718-1815,0,0
20240718-1820,0,0
20240718-1825,0,0
20240718-1830,0,0
20240718-1835,0,0
20240718-1840,0,0
20240718-1845,0,0
20240718-1850,0,0
20240718-1855,0,0
20240718-1900,0,0
20240718-1905,0,0
20240718-1910,0,1
20240718-1915,0,0
20240718-1920,0,0
20240718-1925,1,1
20240718-1930,0,1
20240718-1935,0,0
20240718-1940,0,0
20240718-1945,0,0
20240718-1950,0,0
20240718-1955,0,0
20240718-2000,0,0
20240718-2005,0,0
20240718-2010,0,0
20240718-2015,0,0
20240718-2020,0,0
20240718-2025,0,0
20240718-2030,0,0
20240718-2035,0,0
20240718-2040,0,0
20240718-2045,0,0
20240718-2050,0,0
20240718-2055,0,0
20240718-2100,0,0
20240718-2105,0,0
20240718-2110,0,0
20240718-2115,0,0
20240718-2120,0,0
20240718-2125,0,0
20240718-2130,0,0
20240718-2135,0,0
20240718-2140,0,0
20240718-2145,0,0
20240718-2150,0,0
20240718-2155,0,0
20240718-2200,0,0
20240718-2205,0,0
20240718-2210,4,5
20240718-2215,0,6
20240718-2220,0,1
20240718-2225,1,0
20240718-2230,0,0
20240718-2235,0,0
20240718-2240,0,0
20240718-2245,0,0
20240718-2250,0,5
20240718-2255,0,10
20240718-2300,1,4
20240718-2305,0,0
20240718-2310,0,0
20240718-2315,0,0
20240718-2320,1,0
20240718-2325,2,11
20240718-2330,3,12
20240718-2335,3,11
20240718-2340,5,12
20240718-2345,0,4
20240718-2350,0,8
20240718-2355,2,8
20240719-0000,3,10
20240719-0005,0,0
