date,adriantweets,adrianlikes,elontweets,elonlikes
20240731-1950,0,6,0,0
20240731-1955,0,2,0,0
20240731-2000,1,0,0,0
20240731-2005,0,0,0,0
20240731-2010,0,0,1,3
20240731-2015,0,0,1,10
20240731-2020,0,0,2,9
20240731-2025,0,1,1,7
20240731-2030,0,0,1,3
20240731-2035,1,2,0,1
20240731-2040,0,1,0,0
20240731-2045,0,1,0,0
20240731-2050,0,1,0,0
20240731-2055,0,0,0,0
20240731-2100,0,1,0,0
20240731-2105,0,2,0,0
20240731-2110,0,0,0,0
20240731-2115,0,0,0,0
20240731-2120,0,0,0,0
20240731-2125,0,0,0,0
20240731-2130,0,4,0,0
20240731-2135,0,0,0,0
20240731-2140,0,0,0,0
20240731-2145,0,0,0,0
20240731-2150,0,1,0,0
20240731-2155,0,0,0,0
20240731-2200,0,0,0,0
20240731-2205,0,3,0,0
20240731-2210,0,0,0,0
20240731-2215,1,0,0,0
20240731-2220,0,3,0,0
20240731-2225,0,0,0,0
20240731-2230,0,1,0,0
20240731-2235,0,0,0,0
20240731-2240,0,0,0,0
20240731-2245,0,0,0,0
20240731-2250,0,0,0,0
20240731-2255,0,0,0,0
20240731-2300,0,1,0,0
20240731-2305,0,0,0,0
20240731-2310,0,0,0,0
20240731-2315,0,0,0,0
20240731-2320,0,0,0,0
20240731-2325,0,0,0,0
20240731-2330,0,0,0,0
20240731-2335,0,0,0,0
20240731-2340,0,0,0,0
20240731-2345,0,0,0,0
20240731-2350,0,0,0,0
20240731-2355,0,0,0,0
20240801-0000,0,0,0,0
20240801-0005,0,0,0,0
20240801-0010,0,0,0,0
20240801-0015,0,0,0,0
20240801-0020,0,0,0,0
20240801-0025,0,0,0,0
20240801-0030,0,0,0,0
20240801-0035,0,0,0,0
20240801-0040,0,0,0,0
20240801-0045,0,0,0,0
20240801-0050,0,0,0,0
20240801-0055,0,0,0,0
20240801-0100,0,0,0,0
20240801-0105,0,0,0,0
20240801-0110,0,0,0,0
20240801-0115,0,0,0,0
20240801-0120,0,0,0,0
20240801-0125,0,0,0,0
20240801-0130,0,0,0,0
20240801-0135,0,0,0,0
20240801-0140,0,0,0,0
20240801-0145,0,0,0,0
20240801-0150,0,0,0,0
20240801-0155,0,0,0,0
